#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,2239.6,-nan,49.8,289.0,317.1,1540.5,4022.2,5662.9,17763.8,952628.2,1625000
read,2283.2,-nan,54.8,313.9,341.1,1701.2,3951.1,5285.6,17180.4,962370.8,1650000
read,2271.6,-nan,66.3,337.6,363.4,1746.6,3977.1,5351.0,16497.9,971505.6,1675000
read,2311.3,-nan,60.2,342.8,369.7,1748.1,4114.9,6144.7,17160.9,977263.0,1700000
read,2315.2,-nan,54.8,349.1,377.4,1707.2,4039.1,5559.6,17121.7,980968.0,1725000
read,2383.0,-nan,80.2,351.3,380.0,1773.8,4099.9,5290.8,18035.8,983631.5,1750000
read,2325.8,-nan,54.8,352.3,381.2,1586.3,4102.0,6959.4,16333.8,980611.0,1775000
read,2300.0,-nan,80.2,355.3,385.0,1778.6,4062.6,6340.6,16310.9,985486.9,1800000
read,2323.9,-nan,80.2,351.0,379.4,1748.2,4102.6,6506.4,16029.9,984331.2,1825000
read,2379.8,-nan,54.8,354.1,382.9,1780.2,4122.0,5747.6,17959.3,982769.1,1850000
read,2359.1,-nan,88.2,354.0,383.0,1735.2,4112.8,5791.0,17653.3,982728.2,1875000
read,2342.9,-nan,66.3,352.8,381.2,1729.4,4105.2,5296.4,17849.7,983027.0,1900000
read,2337.9,-nan,49.8,355.8,385.2,1707.1,4097.3,5399.1,17680.5,984719.3,1925000
read,2333.1,-nan,49.8,352.8,382.1,1731.2,4119.2,6170.7,17147.9,982226.5,1950000
read,2319.7,-nan,97.0,352.2,380.8,1702.2,4081.7,5821.1,16057.6,982447.7,1975000
read,2370.7,-nan,41.1,356.4,386.3,1864.8,4131.7,6579.5,16185.0,981378.2,2000000
read,2336.0,-nan,60.2,351.1,379.8,1752.5,4103.3,5894.6,16870.2,982678.2,2025000
read,2387.5,-nan,106.7,354.7,383.7,1765.0,4127.8,6770.9,17623.3,981849.8,2050000
read,2344.2,-nan,66.3,355.1,384.2,1627.8,4113.2,5747.2,16733.3,983087.1,2075000
read,2373.8,-nan,45.3,352.0,380.8,1693.3,4100.3,5769.9,17937.5,981021.5,2100000
read,2315.7,-nan,41.1,353.7,382.5,1435.9,4091.3,5582.2,17273.5,982535.5,2125000
read,2346.2,-nan,80.2,353.3,382.7,1774.1,4136.4,5734.7,17137.7,980784.2,2150000
read,2371.1,-nan,54.8,352.1,380.7,1728.4,4105.7,6307.4,17675.8,985361.0,2175000
read,2373.8,-nan,54.8,355.1,384.2,1825.3,4152.4,6224.9,17546.2,981540.1,2200000
read,2378.2,-nan,41.1,353.1,382.2,1822.6,4125.4,5967.6,17647.8,982208.9,2225000
read,2347.9,-nan,54.8,352.6,381.3,1783.1,4085.8,5687.5,17566.7,984333.8,2250000
read,2339.2,-nan,60.2,354.7,383.9,1800.3,4092.8,6169.7,16616.5,984420.3,2275000
read,2358.8,-nan,54.8,352.3,381.0,1779.8,4150.9,7029.9,16298.5,981513.8,2300000
read,2322.6,-nan,97.0,354.7,383.7,1543.1,4054.9,5248.0,17724.2,983118.6,2325000
read,2352.8,-nan,80.2,353.5,382.8,1661.6,4109.8,6902.7,16396.7,982858.6,2350000
read,2340.9,-nan,66.3,351.9,380.5,1697.3,4139.4,7225.0,16477.8,981377.1,2375000
read,2350.0,-nan,80.2,355.1,384.5,1765.0,4097.2,6260.6,17004.2,983263.5,2400000
read,2332.7,-nan,54.8,352.8,381.7,1759.6,4107.3,5993.9,16503.8,982903.9,2425000
read,2384.8,-nan,49.8,352.2,380.6,1865.9,4157.4,6867.8,16848.9,984147.3,2450000
read,2347.4,-nan,54.8,355.5,385.2,1765.8,4058.5,5990.1,16686.2,984580.6,2475000
read,2349.7,-nan,45.3,351.9,380.5,1813.7,4137.5,6895.0,16325.0,982468.3,2500000
