#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,96.4,542.3,41.1,61.1,65.7,106,114.4,133.4,9923.8,10000
read,89,503.3,41.1,58.1,61.7,101.6,107,127.5,19968.7,20000
read,90.1,595.6,41.1,57.6,61.1,103.6,111.9,132.7,29952.1,30000
read,86.5,574.3,41.1,56.6,59.4,100.5,107.1,127,40018.1,40000
read,89.8,637.7,41.1,56.6,59.5,100.9,108.6,128.6,49925.6,50000
read,85.3,607.5,41.1,56.3,58.7,100.2,108.2,128.2,60037.2,60000
read,89.3,679.1,41.1,56,58.4,99.4,107.7,128,69947.9,70000
read,84.4,573.2,41.1,55.8,58,98.1,106.6,127.1,80049.9,80000
read,81.1,474.7,41.1,55.9,58.1,97.6,106.6,127.4,89960.5,90000
read,84.5,556.5,41.1,55.6,57.7,96.9,106.5,127.4,99921.4,100000
read,80.4,491.1,37.4,55.5,57.4,96.2,105.7,126.5,109984.3,110000
read,79.2,494,41.1,55.5,57.5,95.7,105.3,126.8,120034.7,120000
read,119.1,1106.5,41.1,55.4,57.4,95.4,105.5,129,129942.1,130000
read,82.8,770,41.1,55.5,57.3,94.3,104,125.6,139922,140000
read,287.1,3641.4,41.1,55.5,57.4,94.2,104.6,135.6,150026.2,150000
read,146.3,2234.4,41.1,55.3,57.1,93.5,102.8,127.9,159873.3,160000
read,129.7,1885,41.1,55.5,57.4,92.9,102.6,127.6,170000.4,170000
read,231.1,2958.2,41.1,55.5,57.3,91.9,102.1,131,180042.2,180000
read,199.7,2824.3,41.1,55.4,57.2,91.5,101.2,129.3,190049.8,190000
read,1277.1,15744.7,41.1,55.5,57.4,92.1,102.8,10254.2,200013.2,200000
read,822.3,11855,41.1,55.6,57.6,91.8,101.4,177.6,209938.9,210000
read,504.1,8925.1,41.1,55.5,57.4,90.2,99.8,138.2,220099.4,220000
read,553.6,8197.2,41.1,55.8,57.9,91.4,99.7,137.9,230014.4,230000
read,189.9,5498.4,41.1,55.8,57.9,90.8,98.6,127.3,239903.6,240000
read,1149.5,14631.5,41.1,55.8,57.9,91.7,101.1,7154.5,249936.3,250000
read,1500,19711.1,41.1,55.8,58,91.3,101.5,18422.7,260103.3,260000
read,1747.2,23004.4,37.4,56.3,58.9,92.7,102.3,17823.4,270014.3,270000
read,2364.5,30378.3,37.4,56,58.4,93.3,103,39362.3,279968.2,280000
read,107.7,18375.1,41.1,56.2,58.8,91.5,99.5,124.2,289848.4,290000
read,1220.7,20183.8,41.1,56.3,58.8,93,103,14364.5,299961.2,300000
read,3871.2,42158.3,41.1,56.6,59.5,94.8,106.2,106438,309945.3,310000
read,539,25555.1,41.1,56.6,59.5,93.2,102.1,150,319929.8,320000
read,1574.6,30169.4,41.1,56.8,59.9,94.5,104.3,20237.6,330011.6,330000
read,2497.2,36064.4,37.4,56.7,59.7,94.8,105.6,47481.5,339929.7,340000
read,3414.1,43930,41.1,57,60.3,95.5,107.2,94178.2,349868.8,350000
read,1339.5,33331.2,41.1,57,60.3,95.1,104.9,9678,359971.4,360000
read,3372.3,43340.8,41.1,57.2,60.4,96.5,109.9,111748.8,369910.9,370000
read,2114,38790.3,37.4,57.4,60.7,96.3,106.7,42245,380068.3,380000
read,3955.4,50417.7,41.1,57.6,60.9,98.6,112.9,131401.7,390146.6,390000
read,700.8,38630.5,37.4,57.6,60.9,96.2,105.8,188.1,399870.9,400000
read,494.7,37422.7,41.1,58.2,61.4,97.1,106.7,147.8,410003.7,410000
read,1927.1,42346.4,41.1,57.6,60.9,98.7,110.5,29798.4,419871.2,420000
read,1259.2,40153.4,41.1,58,61.3,99.3,110.7,8224,430058.9,430000
read,4551.5,57072.1,41.1,58.4,61.6,102.5,117.7,171398.7,439964.4,440000
read,3111.5,54422.9,41.1,58.3,61.5,102.3,115.5,82577.8,449896.8,450000
read,2473.2,53122.5,41.1,58.9,62,102.8,115.4,53042.7,460054.3,460000
read,5549.5,42669.5,41.1,58.5,61.8,105.3,126.9,258351.1,469886.9,470000
read,906.4,18957.7,37.4,58,61.4,103,115.1,18506,480026.7,480000
read,3756.4,35691.1,41.1,59.1,62.3,105.8,122.9,138840.8,489943.9,490000
read,553,18083.6,41.1,58.8,62.1,103.8,115.3,173.5,499786.7,500000
read,3012.4,33276.6,41.1,59.2,62.4,106.2,122.3,82595.4,509945.9,510000
read,4274.2,39758,41.1,59,62.3,107.6,127,157637.5,519820,520000
read,4539.8,43721.9,41.1,59.7,62.9,110.2,129.3,177656.1,530038.5,530000
read,1673.7,58225.1,37.4,60.7,63.9,109.3,124.1,24084.7,539877.6,540000
read,5287.5,67748.7,41.1,60.1,63.2,113,136.6,230321.1,549759.3,550000
read,5899.4,71597.4,41.1,60.4,63.5,114.7,141.8,246331.2,559927.8,560000
read,4672.3,70162.4,41.1,60.3,63.4,114.5,137.5,212872.5,570160.2,570000
read,5976.5,77763.9,37.4,60.6,64,115.9,143,247675.9,579965.8,580000
read,3137.9,69858.4,41.1,60.8,64.3,114.5,133.8,101915.5,590016.5,590000
read,5240.4,75746.9,41.1,60.9,64.4,118.1,145.8,236553.1,600046.5,600000
read,5742.6,80580.4,41.1,61.3,65.2,119.9,151.5,234109.8,610060.1,610000
read,4496.7,76155.6,37.4,61.4,65.1,119.3,144,207718.8,619833.1,620000
read,3086,71220.7,41.1,61.7,65.9,120.7,142.3,104029.8,629904,630000
read,5229.9,75294.3,41.1,62,66.3,125.8,162.4,209893.6,639910.2,640000
read,5763.6,82084.4,37.4,61.9,66.2,126,164.5,233598.3,650001.3,650000
read,6634,87015.8,41.1,61.9,66.2,128.6,178.4,245543.7,659857.4,660000
read,5205,52796.5,41.1,62.1,66.5,127.6,164.8,212946.6,670000,670000
read,1835.9,40666.4,41.1,62.2,66.5,125.6,148.1,36312.8,679801.9,680000
read,5654.6,44329.7,41.1,62.4,66.9,133.3,180.9,220038.4,690070,690000
read,5223.2,42158.4,41.1,62,66.4,133,177.4,205553.5,699900.3,700000
read,4980.7,43955.8,41.1,62.9,67.5,135.2,178.5,190946.6,709982.9,710000
read,5915.1,47248.7,41.1,62.6,67.3,138.9,196.7,223814.9,719874.2,720000
read,5850.4,50302.4,37.4,63,67.8,139.1,187.3,223640,729660.7,730000
read,5266.5,45775.7,41.1,63.4,68.1,145.1,204.8,195010.8,740073.3,740000
read,6372.2,52487.6,41.1,63.1,67.9,147.4,218.4,226044.4,749916.3,750000
read,5935.4,49509.1,45.3,63.2,68.1,148.6,216.5,224525.1,759855.8,760000
read,6323.5,52312.1,41.1,63.4,68.3,150.3,224.1,222372.4,769962.7,770000
