#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,99.4,556.7,45.3,61.7,66.8,106.4,114.8,134.4,9928.2,10000
read,92.4,451.5,41.1,59.6,63.5,109.0,117.2,137.3,19953.1,20000
read,90.6,582.7,41.1,57.6,61.1,103.0,110.9,130.6,29960.7,30000
read,89.8,582.8,41.1,57.0,60.3,101.6,109.1,128.5,39937.1,40000
read,84.2,500.2,41.1,56.2,58.7,98.8,106.0,125.8,49837.4,50000
read,86.7,561.0,41.1,55.9,58.1,97.2,105.2,124.6,60020.0,60000
read,85.3,598.9,37.4,55.7,57.8,96.4,104.7,124.4,70044.3,70000
read,89.8,748.1,41.1,55.4,57.3,96.2,104.6,125.1,80001.3,80000
read,84.4,657.8,41.1,55.3,57.1,95.6,104.0,123.3,90013.7,90000
read,82.9,669.0,41.1,55.3,57.0,95.4,104.0,123.1,100076.6,100000
read,81.7,654.5,41.1,55.2,56.8,94.6,103.3,122.9,110023.3,110000
read,81.9,649.1,41.1,55.3,56.9,94.5,103.0,122.9,120041.0,120000
read,81.2,639.8,41.1,55.3,57.0,94.2,102.7,122.4,130029.8,130000
read,81.6,680.5,37.4,55.2,56.8,93.4,102.1,122.3,140005.7,140000
read,78.6,618.7,41.1,55.1,56.6,92.5,101.3,121.5,150025.8,150000
read,78.4,576.4,37.4,55.1,56.6,92.9,100.8,120.9,160024.3,160000
read,77.8,597.0,41.1,55.2,56.7,91.4,99.8,120.1,170051.0,170000
read,79.2,647.2,41.1,55.1,56.5,89.7,99.1,119.2,179992.5,180000
read,90.5,902.8,41.1,55.2,56.7,90.4,98.4,120.6,189919.6,190000
read,77.6,658.6,41.1,55.1,56.5,87.8,96.9,117.3,200048.0,200000
read,76.6,563.4,41.1,55.2,56.7,89.8,96.8,117.7,209980.0,210000
read,78.9,642.8,41.1,55.3,56.8,88.5,96.6,118.3,220028.0,220000
read,78.9,702.4,41.1,55.2,56.7,88.0,95.7,116.3,229998.4,230000
read,79.0,750.6,41.1,55.1,56.5,87.5,95.3,116.3,240001.1,240000
read,77.7,767.7,41.1,55.2,56.7,87.4,95.3,116.0,249947.5,250000
read,89.1,1007.0,37.4,55.1,56.5,87.0,94.9,116.5,260065.5,260000
read,74.8,757.5,41.1,55.2,56.7,86.3,93.9,115.2,269881.4,270000
