#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,94.9,493.9,45.3,61,65.6,106,114.3,132.2,9931.3,10000
read,94.5,542.4,41.1,58.3,62.2,104.4,112.7,132.6,19960.2,20000
read,89.9,593.2,41.1,57.2,60.6,103.8,112.4,131.3,29967.3,30000
read,85.4,505.2,41.1,56.2,58.8,100.2,107.1,127.4,40008.4,40000
read,83.9,442.7,41.1,55.9,58.3,99.2,106.4,126.9,49916.6,50000
read,85.9,550.1,41.1,55.6,57.8,97.6,105.8,125.6,60015.2,60000
read,84.3,489.5,41.1,55.7,58,97.4,105.7,125.6,70051.4,70000
read,85.4,606.2,41.1,55.4,57.3,96.2,104.7,124.6,80010.4,80000
read,81.2,457.6,41.1,55.4,57.4,96.1,105,125.3,90031.2,90000
read,81,479.7,41.1,55.1,56.8,95.4,104.3,124.2,100083.5,100000
read,81.4,547.8,37.4,55.1,56.9,95.3,104,124.6,110030.8,110000
read,79.5,447.3,37.4,55.2,56.8,94.5,103.7,123.6,120050.1,120000
read,79.2,515.1,41.1,55.1,56.6,93.6,103.1,123.5,129948.8,130000
read,80.7,608.3,37.4,55.1,56.6,93.4,102.5,123.6,139936.4,140000
read,84.1,689.1,41.1,55.2,56.8,93,101.7,122.9,149972.5,150000
read,79.5,584.9,37.4,55,56.5,91.6,101,121.7,160052,160000
read,80,564.2,41.1,54.9,56.3,90.4,99.9,121.3,169983.5,170000
read,80,583,41.1,55.1,56.7,91.3,99.1,120.8,180077.1,180000
read,74.4,468.9,41.1,55,56.5,90.4,98.6,119.5,190064.6,190000
read,76.8,483.9,41.1,54.9,56.4,88,97,119.8,199982.2,200000
read,77.6,508.5,41.1,55,56.4,88.9,96.8,118.7,210118.9,210000
read,79.5,579,37.4,55.1,56.6,89.1,96.3,117.2,219980,220000
read,81.8,679.9,37.4,55.1,56.6,88.9,96.4,118.3,229985.6,230000
read,80.8,694.3,37.4,55.1,56.6,88,95.9,116.8,239938.3,240000
read,78.6,581,37.4,55.1,56.6,87.1,95.2,116.5,249869,250000
read,79.4,585.7,41.1,55.1,56.7,87.8,95.3,116.1,259910.9,260000
read,80.1,625.3,41.1,55.2,56.8,87.4,95.1,116.4,269963.3,270000
read,77.9,607,37.4,55.2,56.7,87.3,94.9,116,279988.2,280000
read,79.6,600.1,37.4,55.2,56.8,88.2,95.3,115.8,289929.6,290000
read,81.6,708.4,41.1,55.3,57,87.9,95.1,115.2,299965.6,300000
read,80.3,652.1,41.1,55.2,56.8,86.6,94,115.1,309984.3,310000
read,80.7,671.2,37.4,55.5,57.3,88,95.3,116.1,320037.4,320000
read,80.7,618,37.4,55.5,57.2,87.4,94.9,115.3,330039.1,330000
read,77,499.3,37.4,55.4,57.2,88.2,95.3,115,339898.1,340000
read,89.3,691.3,41.1,55.5,57.4,87.7,95.2,116.5,349963,350000
read,80.9,654.2,41.1,55.6,57.6,88.9,95.6,115.2,360023.7,360000
read,82,640.9,41.1,55.7,57.7,88,95.7,116.3,369979.1,370000
read,81.1,580.7,41.1,55.6,57.4,88,95.8,116.6,379872.4,380000
read,81.8,568.1,37.4,55.7,57.8,89.5,96.3,117,389893.7,390000
