#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,25.7,-nan,17.4,22.8,23.4,25.3,28.4,30.2,34.2,49981.1,50000
read,25.4,-nan,17.4,22.4,23.3,24.9,27.8,29.8,35.7,100047.1,100000
read,25.1,-nan,17.4,22.3,23.3,24.7,27.6,28.3,33.2,150013.1,150000
read,25.0,-nan,17.4,22.1,23.1,24.6,27.4,28.1,33.2,199955.7,200000
read,24.9,-nan,17.4,22.0,22.8,24.6,27.4,28.1,33.2,250057.4,250000
read,25.0,-nan,17.4,22.0,22.9,24.6,27.5,28.8,33.6,300115.9,300000
read,25.1,-nan,17.4,22.0,23.0,24.6,27.7,29.3,34.0,349940.0,350000
read,25.2,-nan,17.4,22.0,23.0,24.7,27.9,29.9,34.6,399962.2,400000
read,25.2,-nan,17.4,22.1,23.0,24.7,27.8,29.8,34.3,450138.3,450000
read,25.4,-nan,17.4,22.3,23.3,24.8,28.2,30.4,35.5,499977.1,500000
read,25.5,-nan,17.4,22.2,23.3,24.9,28.7,30.8,36.3,550066.0,550000
read,25.7,-nan,17.4,22.3,23.3,25.0,29.4,31.5,36.6,600224.6,600000
read,25.9,-nan,17.4,22.5,23.3,25.1,29.9,32.2,37.1,650019.9,650000
read,26.1,-nan,17.4,22.6,23.4,25.2,30.5,32.9,38.1,699793.8,700000
read,26.3,-nan,17.4,22.9,23.4,25.3,30.6,33.2,39.4,749992.8,750000
read,26.4,-nan,17.4,23.0,23.4,25.3,30.9,33.5,39.7,799897.7,800000
read,26.9,-nan,17.4,23.2,23.5,25.7,32.2,34.6,40.8,849789.3,850000
read,27.2,-nan,17.4,23.3,23.6,26.1,32.8,35.4,41.1,899989.7,900000
read,27.2,-nan,17.4,23.3,23.6,26.1,32.8,35.5,41.5,950032.4,950000
read,27.4,-nan,17.4,23.3,23.6,26.2,33.3,36.3,43.4,1000042.1,1000000
read,27.8,-nan,17.4,23.4,23.7,26.5,33.9,37.0,44.7,1050025.6,1050000
read,28.4,-nan,17.4,23.4,23.8,27.1,35.3,38.4,46.7,1099944.1,1100000
read,28.0,-nan,17.4,23.3,23.6,26.6,34.6,37.9,46.0,1150123.4,1150000
read,29.5,-nan,17.4,23.5,23.9,27.8,37.2,41.0,51.5,1199906.8,1200000
read,29.5,-nan,17.4,23.5,23.9,27.8,37.1,40.8,51.1,1250181.7,1250000
read,30.4,-nan,17.4,23.5,24.0,28.5,39.2,43.7,54.6,1299787.7,1300000
read,31.3,-nan,17.4,23.6,24.2,29.4,41.0,46.4,58.5,1349843.2,1350000
read,31.7,-nan,17.4,23.6,24.2,29.6,42.2,48.3,60.7,1400126.2,1400000
read,31.7,-nan,17.4,23.6,24.2,29.7,41.8,47.7,59.7,1450008.1,1450000
read,33.1,-nan,17.4,23.7,24.3,30.6,45.7,53.2,67.7,1499801.5,1500000
read,35.7,-nan,17.4,24.1,25.0,33.0,51.0,57.9,73.4,1549999.8,1550000
read,33.9,-nan,17.4,23.8,24.4,31.2,47.8,55.4,71.9,1600000.2,1600000
read,40.3,-nan,17.4,24.5,25.8,36.3,60.2,69.7,87.9,1649984.8,1650000
read,36.4,-nan,17.4,24.0,24.9,32.9,53.6,61.9,80.2,1699989.1,1700000
read,50.3,-nan,17.4,25.2,27.0,42.6,82.3,99.6,144.6,1750114.7,1750000
read,896.1,-nan,17.4,27.5,31.3,63.6,3152.3,3225.7,3284.4,1799462.8,1800000
read,594.5,-nan,19.2,25.9,28.1,54.7,3128.1,3214.0,3282.6,1849524.6,1850000
read,3009.5,-nan,23.2,2762.6,2800.5,3064.0,3252.0,3275.5,3294.3,1898917.1,1900000
read,2947.8,-nan,23.2,2741.5,2757.1,2882.3,3063.4,3182.4,3277.6,1948988.5,1950000
read,2886.8,-nan,25.5,2739.8,2754.3,2870.4,2986.6,3037.5,3256.4,1996595.4,2000000
read,2996.7,-nan,28.1,2752.6,2782.0,3018.0,3260.0,3290.3,3536.2,2002033.9,2050000
read,2791.7,-nan,23.2,2575.4,2674.3,2845.2,2972.4,2988.3,3114.6,2086066.9,2100000
read,2670.9,-nan,23.2,2364.7,2498.1,2732.5,2979.8,3081.4,3256.4,2088770.0,2150000
read,2775.0,-nan,23.2,2502.2,2526.5,2720.1,2987.2,3117.5,3263.7,2094349.3,2200000
read,2757.2,-nan,25.5,2522.2,2568.2,2813.9,2967.1,2986.2,3117.8,2084049.1,2250000
read,2665.2,-nan,25.5,2394.0,2489.8,2707.5,2944.7,2974.6,2998.5,2109328.8,2300000
read,2784.7,-nan,25.5,2312.9,2373.4,2818.8,2994.7,3132.5,3265.7,2105133.7,2350000
read,2713.2,-nan,25.5,2294.4,2336.1,2778.9,2963.6,2986.7,3169.8,2099026.5,2400000
read,2695.0,-nan,23.2,2289.4,2329.1,2802.2,2971.7,2992.9,3214.5,2095049.4,2450000
read,2678.4,-nan,25.5,2272.3,2315.0,2685.6,2998.9,3148.7,3268.9,2100654.0,2500000
