#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,24.8,-nan,17.4,23.3,23.4,24.6,26.5,27.5,30.3,49885.9,50000
read,24.8,-nan,17.4,23.3,23.4,24.6,26.5,27.5,30.2,100042.1,100000
read,24.8,-nan,17.4,23.3,23.4,24.6,26.6,27.6,30.6,149986.5,150000
read,24.9,-nan,17.4,23.3,23.4,24.6,27.0,27.7,31.0,200015.4,200000
read,24.9,-nan,17.4,23.3,23.4,24.6,27.0,27.8,31.5,250076.8,250000
read,25.0,-nan,17.4,23.3,23.4,24.7,27.2,27.9,31.2,300043.9,300000
read,25.0,-nan,17.4,23.3,23.4,24.6,27.1,27.9,31.6,350003.9,350000
read,25.3,-nan,17.4,23.3,23.5,24.8,27.6,28.1,32.9,400141.8,400000
read,25.3,-nan,17.4,23.3,23.5,24.8,27.6,28.5,33.1,450019.4,450000
read,25.4,-nan,17.4,23.3,23.5,24.9,27.8,29.1,33.6,500034.0,500000
read,25.5,-nan,17.4,23.3,23.5,25.0,27.8,29.4,33.7,549983.7,550000
read,25.5,-nan,17.4,23.3,23.5,25.0,27.9,29.6,33.9,599853.6,600000
read,25.6,-nan,17.4,23.3,23.5,25.0,28.0,29.9,34.1,650025.5,650000
read,25.7,-nan,17.4,23.4,23.6,25.1,28.2,30.2,35.3,699961.2,700000
read,25.8,-nan,17.4,23.4,23.6,25.2,28.5,30.4,35.6,750106.2,750000
read,26.0,-nan,17.4,23.4,23.6,25.3,29.2,30.8,36.4,799919.1,800000
read,25.9,-nan,17.4,23.4,23.6,25.2,28.7,30.4,35.5,850161.3,850000
read,26.1,-nan,17.4,23.4,23.6,25.3,29.6,31.7,37.6,900020.5,900000
read,26.1,-nan,17.4,23.4,23.6,25.3,29.5,31.3,36.7,949949.4,950000
read,26.5,-nan,17.4,23.4,23.7,25.7,30.5,32.9,39.0,999901.6,1000000
read,26.6,-nan,17.4,23.4,23.6,25.7,30.7,33.2,39.4,1050250.3,1050000
read,26.7,-nan,17.4,23.4,23.7,25.8,30.8,33.3,39.3,1100028.9,1100000
read,27.0,-nan,17.4,23.4,23.7,26.1,31.8,34.0,40.9,1149757.2,1150000
read,27.3,-nan,17.4,23.5,23.8,26.4,32.6,35.3,42.5,1199940.9,1200000
read,27.0,-nan,17.4,23.4,23.7,26.1,31.7,34.0,40.9,1250245.6,1250000
read,28.0,-nan,17.4,23.5,23.8,26.8,33.8,37.1,46.3,1299886.7,1300000
read,27.7,-nan,17.4,23.5,23.8,26.6,33.2,36.2,44.2,1349956.5,1350000
read,28.0,-nan,17.4,23.5,23.9,26.8,33.7,36.9,45.2,1400156.1,1400000
read,28.8,-nan,17.4,23.5,23.9,27.2,35.8,39.8,52.0,1449797.3,1450000
read,29.5,-nan,17.4,23.6,24.1,27.7,37.1,41.4,54.0,1500043.3,1500000
read,29.8,-nan,17.4,23.6,24.1,27.8,38.0,42.9,56.9,1549964.1,1550000
read,32.1,-nan,17.4,23.8,24.4,29.6,42.8,49.8,65.5,1600035.3,1600000
read,31.8,-nan,17.4,23.8,24.4,29.2,42.3,49.8,67.7,1649966.6,1650000
read,34.2,-nan,17.4,23.9,24.5,30.5,49.4,58.6,81.4,1700126.3,1700000
read,36.9,-nan,17.4,24.2,25.2,33.0,54.4,63.7,86.8,1749686.0,1750000
read,582.7,-nan,17.4,24.3,25.5,35.1,3129.0,3220.2,3293.1,1799956.2,1800000
read,3129.6,-nan,34.0,3013.5,3028.6,3149.4,3270.2,3285.3,3297.4,1848655.4,1850000
read,583.2,-nan,17.4,24.5,25.8,38.7,3124.0,3216.3,3290.3,1899349.1,1900000
read,1978.4,-nan,21.1,28.8,34.2,2814.5,3109.7,3204.3,3280.0,1948736.2,1950000
read,1956.8,-nan,19.2,25.5,27.4,2796.5,2960.1,2980.5,2996.9,1998481.1,2000000
read,1944.9,-nan,21.1,25.8,27.8,2795.8,2964.5,2985.6,3138.6,2047960.5,2050000
read,2788.4,-nan,25.5,2640.7,2733.7,2854.7,2975.8,2990.9,3180.2,2097789.7,2100000
read,1185.9,-nan,21.1,26.7,29.7,87.9,2853.9,2931.4,2993.4,2148045.8,2150000
read,2666.2,-nan,37.4,2490.1,2503.7,2611.9,2720.2,2850.5,3131.3,2196697.3,2200000
read,1538.3,-nan,19.2,28.4,33.7,2156.6,2686.5,2717.9,3010.8,2244712.7,2250000
read,2503.1,-nan,21.1,2286.0,2340.7,2570.0,2703.5,2720.2,2955.4,2281548.2,2300000
read,2515.4,-nan,25.5,2295.0,2337.3,2561.2,2703.4,2721.1,2960.9,2338399.1,2350000
read,2500.5,-nan,28.1,2271.0,2288.8,2431.8,2688.4,2735.5,3057.7,2346374.5,2400000
read,2515.2,-nan,156.2,2293.5,2334.0,2560.7,2709.1,2747.6,3026.7,2364294.9,2450000
read,2532.2,-nan,334.9,2304.5,2356.0,2573.5,2708.6,2725.5,2996.7,2381122.8,2500000
