#type,avg,min,1st,5th,10th,50th,90th,95th,99th,QPS,target
read,26.0,-nan,17.4,23.3,23.5,25.6,29.0,30.5,35.0,49931.4,50000
read,25.3,-nan,17.4,22.5,23.3,24.9,27.8,29.1,33.7,99982.2,100000
read,25.2,-nan,17.4,22.5,23.3,24.8,27.7,28.6,33.4,150065.4,150000
read,25.2,-nan,17.4,22.7,23.3,24.8,27.6,28.5,33.0,200047.4,200000
read,25.2,-nan,17.4,22.4,23.3,24.7,27.7,29.1,33.8,249944.5,250000
read,25.2,-nan,17.4,22.2,23.2,24.7,27.7,29.4,34.2,300130.6,300000
read,25.3,-nan,17.4,22.4,23.3,24.8,27.9,29.8,34.9,349924.2,350000
read,25.3,-nan,17.4,22.3,23.3,24.8,28.0,30.1,35.0,400036.8,400000
read,25.5,-nan,17.4,22.5,23.3,24.9,28.1,30.5,35.7,450005.9,450000
read,25.5,-nan,17.4,22.4,23.3,24.9,28.3,30.6,36.2,499899.5,500000
read,25.7,-nan,17.4,22.5,23.3,25.0,29.1,31.1,36.5,549891.9,550000
read,25.8,-nan,17.4,22.6,23.3,25.1,29.6,31.8,36.8,600133.8,600000
read,26.0,-nan,17.4,22.7,23.4,25.1,29.9,32.2,37.3,649873.5,650000
read,26.1,-nan,17.4,22.8,23.4,25.2,30.3,32.9,38.6,699985.6,700000
read,26.1,-nan,17.4,22.8,23.4,25.2,30.4,32.9,38.2,750047.4,750000
read,26.5,-nan,17.4,23.1,23.4,25.4,31.1,33.6,40.1,800129.1,800000
read,26.6,-nan,17.4,23.0,23.4,25.5,31.4,33.8,40.0,849914.1,850000
read,27.0,-nan,17.4,23.3,23.5,25.8,32.5,35.2,41.2,900157.8,900000
read,27.2,-nan,17.4,23.3,23.6,26.1,32.9,35.6,41.7,950051.6,950000
read,27.6,-nan,17.4,23.3,23.6,26.4,33.6,36.7,44.2,1000042.6,1000000
read,28.0,-nan,17.4,23.3,23.7,26.8,34.2,37.3,44.9,1049977.9,1050000
read,28.4,-nan,17.4,23.4,23.8,27.1,35.1,38.2,46.4,1099992.4,1100000
read,28.4,-nan,17.4,23.3,23.7,27.0,35.4,38.8,48.1,1150066.0,1150000
read,28.4,-nan,17.4,23.4,23.7,27.1,35.4,38.7,47.2,1200108.3,1200000
read,29.5,-nan,17.4,23.4,23.9,27.7,37.2,41.1,51.7,1249906.0,1250000
read,30.1,-nan,17.4,23.5,24.0,28.3,38.6,43.0,53.9,1300010.4,1300000
read,31.1,-nan,17.4,23.6,24.1,29.2,40.4,45.3,57.9,1349925.2,1350000
read,32.2,-nan,17.4,23.7,24.3,30.1,42.7,48.8,62.7,1399982.6,1400000
read,32.3,-nan,17.4,23.7,24.3,30.2,43.3,49.5,63.6,1450129.5,1450000
read,35.0,-nan,17.4,24.1,25.0,32.4,48.9,56.1,73.8,1500149.4,1500000
read,35.8,-nan,17.4,24.2,25.2,33.0,50.8,58.2,77.0,1550082.9,1550000
read,37.1,-nan,17.4,24.2,25.4,33.8,53.6,61.6,81.2,1599707.5,1600000
read,42.2,-nan,17.4,24.7,26.2,37.2,64.7,77.2,104.1,1649705.0,1650000
read,43.1,-nan,17.4,24.4,25.6,37.0,69.4,83.1,112.6,1700081.8,1700000
read,52.5,-nan,17.4,25.1,26.8,43.0,92.2,111.5,150.7,1750154.8,1750000
read,56.4,-nan,19.2,26.4,29.1,48.9,95.6,112.7,146.4,1800088.6,1800000
read,590.1,-nan,17.4,25.6,27.5,51.4,3098.7,3198.8,3279.0,1850117.2,1850000
read,1214.5,-nan,19.2,25.6,27.4,53.2,3034.9,3167.0,3272.6,1899245.5,1900000
read,1937.4,-nan,21.1,30.0,35.6,2791.4,2960.4,2981.5,2998.4,1949208.6,1950000
read,2867.6,-nan,28.1,2736.6,2751.2,2868.4,2985.5,3025.9,3321.9,1996260.6,2000000
read,1919.6,-nan,21.1,34.8,44.5,2762.4,2952.4,2976.1,2995.1,2046303.6,2050000
read,1933.4,-nan,21.1,29.9,35.7,2761.8,2962.2,2987.3,3186.6,2071303.9,2100000
read,2761.7,-nan,30.9,2504.2,2530.3,2740.4,2970.6,3002.1,3239.9,2098161.1,2150000
read,2755.7,-nan,25.5,2502.5,2527.2,2724.2,2950.9,2979.3,3100.7,2111364.8,2200000
read,2773.5,-nan,28.1,2499.5,2523.3,2713.7,3151.6,3226.3,3286.0,2117580.1,2250000
read,2692.7,-nan,30.9,2297.1,2341.7,2688.8,3146.4,3223.1,3284.5,2110372.4,2300000
read,2584.5,-nan,25.5,2290.7,2332.9,2580.1,2842.2,2922.1,2986.1,2108115.8,2350000
read,2768.8,-nan,142.0,2514.2,2550.3,2791.9,2959.5,2980.5,2997.3,2127767.2,2400000
read,2751.1,-nan,80.2,2485.4,2517.4,2763.5,2964.5,2989.6,3202.6,2127652.7,2450000
read,2849.4,-nan,37.4,2511.3,2544.4,2845.0,3210.3,3254.6,3290.1,2120272.4,2500000
