#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,279.2,834.7,45.3,77.0,86.0,347.4,483.0,3602.3,1350409.6,1350000
read,319.8,1009.0,49.8,78.4,88.3,395.4,602.6,4038.6,1367872.8,1368000
read,324.2,821.0,49.8,80.0,89.7,424.1,646.4,3844.9,1385395.2,1386000
read,403.1,1196.3,49.8,82.0,93.3,504.8,1749.3,4307.5,1404115.7,1404000
read,516.1,1318.8,49.8,85.6,99.3,751.2,2866.4,4696.4,1422064.5,1422000
read,380.2,1140.5,45.3,86.7,101.8,593.5,873.4,3722.8,1439561.8,1440000
read,591.6,1241.9,49.8,92.5,112.1,1031.1,2982.9,4568.5,1457860.5,1458000
read,791.1,1307.0,54.8,102.7,131.3,2351.1,3545.8,4698.5,1476197.4,1476000
read,886.3,1419.7,49.8,110.6,142.5,2614.6,3595.3,4752.8,1493930.8,1494000
read,1394.6,1738.9,49.8,140.3,196.8,3613.0,4177.3,5126.9,1511693.3,1512000
read,1889.0,1817.6,49.8,203.5,324.2,3819.9,4253.1,4901.9,1528955.8,1530000
read,2052.5,1867.8,54.8,341.5,555.4,3428.8,3770.4,4631.6,1545803.3,1548000
read,2926.5,2058.8,60.2,1076.5,1584.1,4171.6,4414.5,5154.8,1549909.5,1566000
read,3341.5,1985.2,54.8,2198.7,2364.0,4321.0,4565.4,4898.0,1560712.5,1584000
read,3592.2,1959.8,80.2,2433.6,2580.4,4581.2,4726.6,5177.1,1566801.6,1602000
read,3580.3,2017.9,106.7,2430.3,2574.0,4576.0,4719.8,5007.9,1569409.3,1620000
read,3598.7,2060.4,72.9,2449.3,2586.2,4598.4,4735.6,5146.5,1560671.6,1638000
read,3616.6,2288.3,97.0,2453.3,2592.6,4596.3,4737.1,5297.0,1567143.5,1656000
read,3598.6,2368.8,117.4,2448.6,2587.1,4579.4,4721.5,5019.5,1570433.3,1674000
read,3615.3,2702.6,54.8,2455.2,2595.4,4600.9,4738.6,5265.1,1565003.5,1692000
read,3597.7,2406.3,106.7,2448.0,2585.7,4589.4,4729.7,5174.4,1573378.5,1710000
read,3627.9,3088.3,106.7,2449.3,2596.8,4617.3,4753.1,5276.5,1562297.6,1728000
read,3636.7,2878.4,106.7,2466.0,2604.1,4615.1,4746.7,5311.4,1566261.6,1746000
read,3628.4,2398.1,54.8,2453.6,2596.4,4612.3,4749.2,5256.5,1563179.0,1764000
read,3621.7,2476.3,117.4,2457.5,2595.9,4602.4,4745.4,5299.3,1567001.9,1782000
read,3630.0,2568.5,1051.2,2457.0,2594.5,4618.4,4754.5,5294.9,1564029.1,1800000
