#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,415.4,14392.8,37.4,74.5,90.7,416.7,470.2,591.9,279770.2,280000
read,371.3,13983.9,41.1,80.4,101.1,442.4,488.9,588.7,283989.5,284000
read,435.9,5331.2,37.4,94.7,125.3,615.5,681.5,958.4,287672.5,288000
read,602.7,13710.3,41.1,82.0,107.5,551.9,627.0,834.5,292169.5,292000
read,438.1,6198.5,41.1,82.6,108.1,583.5,683.1,865.0,296099.6,296000
read,355.3,5200.0,37.4,78.2,100.2,516.1,592.8,811.2,299948.8,300000
read,503.0,5983.6,37.4,86.1,115.7,702.5,781.5,942.7,304114.3,304000
read,333.4,2017.3,41.1,82.5,104.8,518.2,582.8,745.7,308069.7,308000
read,473.9,4806.6,41.1,84.6,114.5,620.0,698.6,1037.9,312094.2,312000
read,629.2,1858.3,41.1,123.6,180.7,1027.4,1134.9,1764.9,315912.9,316000
read,643.8,6261.8,37.4,100.4,143.8,868.0,998.2,1403.2,319871.0,320000
read,653.5,4537.9,37.4,110.6,161.2,982.7,1114.8,1892.2,324146.2,324000
read,496.9,1041.5,34.0,93.6,132.9,914.0,1046.7,1390.8,327895.1,328000
read,947.9,1266.4,41.1,148.7,231.7,1665.1,1833.3,2708.8,332036.4,332000
read,864.9,1773.1,41.1,124.9,194.9,1575.1,1861.6,3066.9,335888.6,336000
read,971.1,1415.1,41.1,144.6,228.5,1827.1,2087.5,3302.0,339862.1,340000
read,868.6,1040.7,41.1,143.1,220.6,1531.0,1913.2,2830.9,343851.6,344000
read,1128.5,2956.5,41.1,157.3,247.1,2009.0,2729.9,4138.3,347728.3,348000
read,1738.3,1459.0,45.3,270.2,427.2,2963.6,3965.6,5384.4,349729.5,352000
read,1909.1,1855.6,45.3,259.1,415.8,3975.8,4830.1,7695.9,347812.6,356000
read,1808.7,1605.3,41.1,300.4,464.3,2938.6,3901.3,6115.8,349009.3,360000
read,1776.0,199199262296349952691495378540664635238803600005531687684896812557072717711316877312.0,41.1,279.5,432.3,2902.9,4192.3,6364.0,350100.1,364000
read,1982.4,198625613121729080974926523454014593128831733259138414582301094872792305471252856832.0,45.3,274.5,432.9,4278.0,5440.8,6856.3,346096.1,368000
read,1760.3,198427020557703303323166353270659818585264677037725224332241482721810516734377984000.0,45.3,305.3,462.3,2859.7,3453.8,5478.7,353230.3,372000
read,1760.6,1702.9,45.3,303.2,459.1,2826.7,3407.7,5844.9,351817.4,376000
read,1733.8,1720.9,45.3,289.2,447.9,2725.9,3489.4,4944.5,351644.2,380000
read,1774.4,705558750581894446143453080119041453044589282073699897079993540672691039601139753921665826816.0,41.1,274.2,434.5,2952.7,3822.3,6209.1,349425.4,384000
read,1622.7,1921.5,45.3,293.5,440.5,2617.0,2708.2,6119.2,363008.9,388000
read,1807.3,2005.9,45.3,284.8,446.7,2916.3,3983.1,6650.0,353346.3,392000
read,1983.7,2186.6,41.1,281.6,447.2,3960.2,5052.4,6906.3,350516.1,396000
read,1937.3,2267.3,45.3,298.2,461.6,3484.0,4585.7,7437.9,350835.4,400000
