#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,94.5,536.0,41.1,61.0,65.9,103.8,110.8,129.0,9917.7,10000
read,94.1,564.6,41.1,58.7,62.4,105.2,113.8,132.8,19984.3,20000
read,90.1,576.6,37.4,57.1,60.5,101.0,106.5,126.6,29986.6,30000
read,89.0,625.7,41.1,56.6,59.4,100.6,106.6,126.7,39983.1,40000
read,95.1,756.8,37.4,56.1,58.5,98.9,105.8,125.7,49917.1,50000
read,85.1,625.3,37.4,55.9,58.3,97.4,105.1,123.8,60001.4,60000
read,87.2,702.0,41.1,55.9,58.2,97.4,105.4,124.6,70073.8,70000
read,86.2,716.0,37.4,55.6,57.6,96.4,104.7,124.3,80037.6,80000
read,89.5,727.9,41.1,55.5,57.3,95.9,104.5,124.0,89999.2,90000
read,87.8,706.0,37.4,55.5,57.3,95.5,103.9,123.6,100059.5,100000
read,81.9,597.7,41.1,55.3,57.0,94.8,103.4,122.8,109989.3,110000
read,82.1,638.1,37.4,55.3,57.0,94.6,103.2,122.7,119990.7,120000
read,80.2,604.3,37.4,55.2,56.8,94.1,102.4,121.7,130117.2,130000
read,81.4,665.4,37.4,55.3,56.9,93.5,101.9,121.4,140021.5,140000
read,77.8,552.4,41.1,55.1,56.6,92.4,101.3,121.0,149992.2,150000
read,81.2,708.7,41.1,55.1,56.5,92.1,100.5,121.3,160009.6,160000
read,81.0,749.3,41.1,55.1,56.5,90.8,99.6,120.1,169916.1,170000
read,77.4,745.0,41.1,55.3,56.8,91.9,99.7,119.8,179980.8,180000
read,76.7,653.8,41.1,55.1,56.5,89.4,98.0,117.9,190028.9,190000
read,76.1,671.6,41.1,55.1,56.5,89.1,96.9,117.2,200002.2,200000
read,78.2,696.5,41.1,55.1,56.5,89.3,96.5,116.8,209892.9,210000
read,79.8,790.4,41.1,55.0,56.3,87.9,96.1,116.8,220017.4,220000
read,79.7,851.5,41.1,55.0,56.4,87.8,95.7,116.2,229896.7,230000
read,78.1,817.5,41.1,55.0,56.3,87.4,95.4,116.5,240067.8,240000
read,77.6,780.8,37.4,55.1,56.5,87.4,94.9,115.2,249994.6,250000
read,78.7,804.7,41.1,55.1,56.6,87.6,94.9,115.5,260014.3,260000
read,79.3,851.4,41.1,55.1,56.4,85.9,93.4,115.3,270172.9,270000
read,81.4,738.1,37.4,55.2,56.6,86.7,93.9,114.6,280063.6,280000
read,77.6,648.0,41.1,55.2,56.7,87.4,94.4,114.4,289884.5,290000
read,96.2,944.4,37.4,55.3,57.0,87.5,94.5,115.7,299928.7,300000
read,78.5,752.7,41.1,55.3,56.9,87.0,94.0,114.6,310055.0,310000
read,80.1,608.5,41.1,55.3,56.8,86.4,93.2,113.9,320059.4,320000
read,79.5,598.6,37.4,55.3,56.9,86.8,93.5,114.0,329945.7,330000
read,77.7,556.1,37.4,55.5,57.2,86.7,93.4,113.9,339907.1,340000
read,78.5,561.7,41.1,55.5,57.2,86.1,93.2,114.1,350083.2,350000
read,80.8,644.5,41.1,55.4,57.1,86.4,93.3,113.5,359881.0,360000
read,80.0,677.7,37.4,55.3,57.0,86.8,93.8,113.5,370037.7,370000
read,80.3,623.2,41.1,55.5,57.2,87.0,94.0,113.7,379830.9,380000
read,84.1,684.0,37.4,55.7,57.6,87.8,94.7,114.0,389976.7,390000
read,82.6,734.3,37.4,55.5,57.3,86.9,93.9,113.4,399954.4,400000
read,85.7,741.3,41.1,55.7,57.7,87.7,94.5,113.8,409998.7,410000
read,80.4,621.9,41.1,55.9,58.1,89.8,95.5,114.7,420093.2,420000
read,82.8,712.7,37.4,55.8,57.8,87.6,94.8,114.8,429895.5,430000
read,81.6,595.6,41.1,56.1,58.4,89.6,95.8,115.5,440046.3,440000
read,82.7,664.7,41.1,56.1,58.4,89.7,96.0,115.8,450149.3,450000
read,84.8,719.7,41.1,56.1,58.5,88.6,95.8,115.8,459784.8,460000
read,85.7,741.6,41.1,56.1,58.4,89.9,96.3,116.6,469904.3,470000
read,87.8,800.0,37.4,55.9,58.1,89.0,96.4,117.2,479858.2,480000
read,103.2,1017.7,37.4,56.3,58.8,90.1,96.8,117.1,489951.8,490000
read,85.6,832.3,41.1,56.2,58.7,90.7,97.0,117.9,500119.2,500000
read,84.0,795.1,41.1,56.4,59.0,92.0,98.0,118.5,509917.8,510000
read,87.5,799.0,41.1,56.8,59.9,93.2,99.0,119.7,520009.1,520000
read,88.8,821.2,37.4,56.7,59.7,92.9,99.8,121.2,530159.0,530000
read,88.1,784.4,37.4,56.4,59.1,92.5,99.4,120.3,540064.7,540000
read,85.4,726.6,41.1,56.9,60.0,93.2,100.0,121.2,550281.4,550000
read,89.6,769.1,37.4,57.1,60.4,93.8,101.4,123.4,560206.5,560000
read,93.1,866.4,37.4,56.8,59.9,93.3,101.2,122.8,569969.0,570000
read,92.3,877.8,37.4,56.9,60.2,94.2,102.1,124.3,580145.4,580000
read,87.2,833.0,41.1,56.9,60.2,94.5,102.3,124.0,589848.6,590000
read,85.6,855.1,41.1,57.2,60.5,94.9,103.0,124.3,599977.7,600000
read,92.1,854.7,37.4,57.6,60.8,95.5,103.8,126.7,610133.7,610000
read,90.6,827.9,37.4,57.3,60.5,95.5,103.9,126.5,619959.9,620000
read,92.0,834.7,41.1,57.5,60.8,96.2,104.8,127.9,630045.3,630000
read,92.5,883.5,37.4,58.0,61.3,96.6,105.1,128.0,640035.1,640000
read,96.3,928.8,41.1,58.2,61.5,96.9,105.5,129.0,650085.2,650000
read,91.9,904.7,41.1,57.9,61.2,97.3,105.9,129.0,659963.8,660000
read,91.3,893.4,41.1,58.4,61.6,98.2,106.3,130.0,669934.5,670000
read,94.4,914.3,37.4,58.3,61.7,98.5,106.5,133.2,679830.6,680000
read,94.4,992.6,37.4,58.0,61.4,98.9,107.1,133.6,689881.6,690000
read,99.2,1084.6,41.1,58.6,61.8,100.0,108.1,133.5,700017.3,700000
read,102.9,1183.2,41.1,58.5,61.8,100.4,109.1,136.8,710020.7,710000
read,101.3,1199.9,41.1,59.3,62.4,101.0,109.8,137.6,719806.2,720000
read,97.5,1096.6,37.4,58.8,62.0,101.7,110.7,138.9,729895.5,730000
read,100.1,1201.9,41.1,59.7,62.8,102.3,111.6,139.2,740103.7,740000
read,102.4,1257.0,41.1,59.6,62.7,102.9,112.5,140.8,750094.6,750000
read,106.5,1321.2,41.1,59.6,62.6,103.4,113.1,141.5,759970.1,760000
read,105.7,1361.1,41.1,59.6,62.7,103.9,114.1,149.5,769941.5,770000
read,106.7,1368.7,37.4,60.0,63.1,104.1,114.1,146.2,780012.8,780000
read,106.2,1404.7,41.1,60.5,63.8,104.6,114.6,146.8,789928.1,790000
read,106.5,1403.2,41.1,60.2,63.3,104.9,114.9,145.9,800112.6,800000
read,109.8,1246.1,41.1,60.8,64.2,105.8,116.2,149.6,810023.0,810000
read,105.6,1192.6,41.1,60.2,63.3,105.9,116.2,147.6,820015.2,820000
read,112.7,893.9,41.1,60.8,64.3,106.7,117.1,151.9,829784.4,830000
read,112.0,836.0,37.4,60.6,64.0,106.9,117.4,152.0,839862.1,840000
read,122.8,966.0,41.1,61.0,64.7,108.6,119.7,156.6,849946.6,850000
read,118.7,968.5,41.1,61.2,65.2,109.6,120.8,155.1,860062.2,860000
read,111.2,812.2,41.1,61.1,64.9,109.8,120.6,154.8,869910.1,870000
read,118.7,988.0,37.4,61.1,65.0,110.8,122.3,158.4,879905.8,880000
read,122.9,964.3,41.1,61.1,65.0,111.4,122.9,161.3,889955.4,890000
read,127.0,1045.3,41.1,61.5,65.5,112.1,123.8,161.9,900281.0,900000
read,136.0,1198.4,41.1,61.6,65.9,113.6,125.7,170.5,909921.0,910000
read,126.3,1084.8,41.1,61.8,66.2,113.5,125.6,168.5,920193.1,920000
read,126.9,1164.3,41.1,62.3,67.0,114.3,126.6,168.4,930064.8,930000
read,133.8,1284.4,41.1,61.8,66.2,115.1,127.7,173.4,939954.9,940000
read,130.4,1304.6,41.1,62.3,66.8,115.6,128.2,171.9,949827.1,950000
read,146.4,1284.9,41.1,62.3,67.0,116.0,128.5,175.1,959988.9,960000
read,136.5,1293.5,41.1,62.8,67.5,117.0,130.7,178.9,970138.5,970000
read,142.8,1301.1,41.1,62.7,67.5,117.6,132.4,190.9,980217.6,980000
read,145.8,1353.6,41.1,63.1,68.0,118.9,133.5,185.7,990052.1,990000
read,148.8,1374.6,41.1,63.6,68.6,120.1,134.6,187.1,1000047.7,1000000
read,157.5,1429.0,41.1,63.0,67.9,121.0,136.0,199.1,1009965.4,1010000
read,149.4,1482.9,41.1,63.4,68.4,121.9,136.7,188.8,1020083.8,1020000
read,154.6,1573.9,41.1,63.7,68.7,123.1,138.0,193.9,1029942.9,1030000
read,157.5,1541.2,41.1,63.9,69.0,124.6,140.1,213.5,1039795.1,1040000
read,155.7,1651.8,41.1,64.5,69.9,124.6,139.7,193.9,1050015.0,1050000
read,165.2,1748.3,37.4,64.0,69.2,126.0,142.5,229.8,1060031.9,1060000
read,164.4,1791.6,41.1,64.5,69.8,127.2,145.0,230.6,1070051.2,1070000
read,171.4,1825.3,41.1,65.1,70.6,127.4,144.1,225.1,1079835.7,1080000
read,165.4,1826.8,41.1,65.1,70.5,128.1,145.4,216.9,1090066.4,1090000
read,185.0,1989.6,41.1,65.9,71.6,130.3,148.7,248.3,1100118.0,1100000
read,177.3,2028.6,45.3,65.9,71.8,131.2,149.4,225.9,1110046.4,1110000
read,175.4,2099.9,41.1,66.3,72.2,132.8,151.1,237.6,1119785.4,1120000
read,187.4,2201.4,41.1,66.7,72.7,134.5,153.1,266.1,1129992.2,1130000
read,177.8,2244.3,41.1,66.7,72.5,134.2,152.4,247.0,1139890.1,1140000
