#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,243.1,814.6,45.3,84.7,93.4,216.2,265.9,4108.1,1284420.7,1296000
read,253.3,906.8,49.8,84.5,94.2,219.3,272.8,4192.9,1301535.4,1314000
read,255.5,890.2,49.8,86.6,96.5,234.0,295.3,4249.1,1319035.3,1332000
read,288.0,996.3,54.8,88.8,98.7,245.6,318.9,4558.8,1336169.4,1350000
read,250.4,814.9,49.8,90.0,100.8,245.9,301.7,3766.2,1353609.9,1368000
read,377.8,1225.0,49.8,90.4,101.4,274.1,1929.7,5385.9,1371868.7,1386000
read,258.2,984.2,49.8,92.4,103.6,268.3,334.6,3826.9,1389245.0,1404000
read,393.7,12447978557494347712743564212506382046269921659969935544229790590074777424772283382793435977930306744943116288.0,54.8,95.3,106.8,304.9,2271.5,5388.1,1405682.0,1422000
read,274.9,944.8,49.8,97.6,109.0,294.9,379.4,3861.4,1423198.8,1440000
read,362.9,1134.5,54.8,99.3,111.2,331.0,741.5,4740.2,1441054.6,1458000
read,377.0,1054.4,60.2,101.2,113.8,360.1,1283.3,4756.5,1457450.1,1476000
read,386.7,1030.3,49.8,103.1,117.8,382.1,1820.7,4617.6,1475692.7,1494000
read,401.0,1161.3,54.8,105.2,118.6,396.8,2044.1,4596.8,1492738.3,1512000
read,441.2,12494940029390797336125091353326446611592706826425130461829104023462487083052496313483004033388120309713862656.0,45.3,110.0,124.9,458.5,2422.1,4751.6,1510590.6,1530000
read,446.4,1212.9,54.8,110.9,126.2,483.6,2480.8,4808.7,1527998.7,1548000
read,430.8,1195.4,49.8,116.7,133.1,538.8,1610.9,4179.4,1545300.5,1566000
read,663.2,1509.4,49.8,121.6,140.9,2148.3,3401.9,5812.0,1563094.8,1584000
read,503.0,1381.1,49.8,125.0,144.5,705.8,2376.1,4205.6,1580502.1,1602000
read,771.3,1569.1,54.8,136.1,159.0,2549.4,3465.6,5237.8,1597759.7,1620000
read,688.7,1397.9,66.3,145.1,170.0,1459.5,2821.4,4250.8,1615021.0,1638000
read,857.0,1518.8,60.2,149.4,178.3,2526.9,3386.8,5050.0,1631845.7,1656000
read,1105.3,1531.2,60.2,178.3,225.9,2891.3,3617.1,4841.6,1649916.7,1674000
read,1102.2,1572.7,49.8,185.9,238.2,2712.2,3455.9,4784.5,1666890.5,1692000
read,1729.9,1399.8,49.8,352.2,516.4,3326.7,3789.7,5050.8,1684475.4,1710000
read,2352.6,1598.4,97.0,740.1,1010.3,3737.1,4022.3,5262.9,1699134.2,1728000
read,2692.6,1601.0,97.0,1185.4,1450.0,3880.5,4135.7,5092.2,1713695.5,1746000
read,3030.2,1636.6,106.7,1955.0,2137.9,3941.2,4188.4,4975.7,1717962.6,1764000
read,2931.9,1971.1,80.2,1950.1,2099.5,3757.5,3959.0,4984.2,1731099.7,1782000
read,2738.0,1584.8,88.2,1853.4,1983.4,3525.4,3719.1,4281.1,1737578.7,1800000
