#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,147.4,706.8,45.3,62.4,67.2,132.7,150.3,195.2,19875.3,20000
read,134.5,753.3,41.1,60.7,64.3,131.3,146.4,177.0,39771.5,40000
read,138.8,887.7,41.1,60.3,64.1,135.7,149.2,178.6,60022.5,60000
read,144.9,919.6,45.3,59.9,63.2,136.9,149.0,186.1,80045.6,80000
read,136.9,763.3,45.3,59.7,62.9,137.2,148.6,177.0,100018.8,100000
read,139.6,751.9,45.3,60.0,63.2,137.4,148.3,188.9,119909.5,120000
read,133.6,630.3,41.1,58.9,62.4,137.3,147.1,181.5,139880.5,140000
read,266.2,2048.9,41.1,59.7,62.7,139.4,150.6,4234.8,159856.5,160000
read,146.2,1052.7,45.3,60.5,63.3,138.3,147.9,185.7,180063.2,180000
read,133.6,692.6,45.3,60.2,63.2,139.1,148.8,178.2,199909.0,200000
read,145.5,877.7,45.3,60.6,63.8,138.9,148.3,183.1,219983.2,220000
read,143.5,812.4,41.1,60.7,63.7,139.7,149.4,185.8,239898.0,240000
read,150.9,964.0,45.3,61.0,64.6,141.1,151.1,196.2,259874.7,260000
read,1557.9,8989.3,45.3,61.1,64.5,143.2,166.5,51397.2,279761.3,280000
read,146.7,3392.3,45.3,61.3,64.9,140.7,150.9,195.3,300222.4,300000
read,2142.9,12192.8,45.3,62.2,66.4,148.9,1260.3,57348.6,319817.0,320000
read,142.3,3121.9,45.3,61.3,65.1,138.5,147.3,182.2,339856.2,340000
read,2369.1,11381.8,45.3,62.8,67.2,152.4,7980.0,62819.4,359976.5,360000
read,139.0,4471.8,45.3,62.9,67.4,142.0,153.8,202.5,380082.1,380000
read,2855.0,13128.5,45.3,63.3,68.0,155.6,22909.9,66923.0,399931.3,400000
read,1494.1,9419.1,45.3,64.3,69.1,153.5,258.4,42661.1,419580.7,420000
read,497.2,5969.4,45.3,64.9,69.3,145.8,162.8,16407.1,439952.7,440000
read,158.6,2904.2,45.3,64.9,69.6,144.3,155.1,250.7,459875.0,460000
read,2155.5,9317.6,49.8,65.7,70.5,164.4,16080.2,50874.5,479908.4,480000
read,3208.9,13466.4,45.3,66.0,70.7,173.9,29646.6,71881.0,499984.1,500000
read,1970.1,11061.6,45.3,66.6,71.7,168.8,6744.8,54098.5,519909.6,520000
read,157.7,5001.8,45.3,66.4,71.0,148.3,164.9,227.3,539968.3,540000
read,3572.0,14776.0,49.8,67.3,72.7,211.6,26707.2,75616.7,559939.0,560000
read,3241.6,13044.5,45.3,68.0,73.6,4055.3,29756.6,54763.3,580078.9,580000
read,177.3,6652.7,49.8,67.8,73.3,153.6,179.2,467.6,599700.1,600000
read,4006.3,14470.5,45.3,69.2,74.5,6837.4,31733.2,72182.7,619771.5,620000
read,1810.1,10836.3,45.3,69.2,74.6,179.0,4371.3,46579.7,639570.5,640000
read,2375.5,13127.4,45.3,69.4,74.8,200.4,15264.8,53184.9,659745.0,660000
read,210.7,7014.8,49.8,69.3,74.6,169.3,198.9,4052.9,679639.4,680000
read,3466.9,13165.2,45.3,71.7,76.7,7297.9,27025.6,63363.1,700223.4,700000
read,2976.7,12957.3,49.8,72.4,77.3,276.3,22919.8,64831.8,719702.1,720000
read,1342.5,9518.4,49.8,72.5,77.4,198.4,1116.9,38635.3,739825.5,740000
read,1158.4,7702.4,49.8,72.2,77.3,204.9,519.8,30654.0,759639.2,760000
read,398.4,4876.8,49.8,73.0,77.9,198.3,247.1,9762.5,779662.7,780000
read,3431.9,12034.4,49.8,73.6,79.2,12052.9,23999.1,52215.3,799834.5,800000
read,2964.2,12369.1,49.8,74.2,79.9,7025.7,21467.5,53552.9,819876.7,820000
read,465.4,6250.2,49.8,73.9,79.7,224.5,297.5,13733.0,839468.4,840000
read,752.3,6321.1,45.3,75.5,82.0,236.9,350.4,22016.3,859147.8,860000
read,356.9,4183.9,45.3,74.7,80.7,225.5,284.9,8441.2,879418.9,880000
read,2465.4,9167.7,49.8,75.1,81.6,4310.6,17317.0,42029.0,899719.0,900000
read,4957.3,15909.0,45.3,76.9,84.7,15876.2,26233.9,71900.5,919863.9,920000
read,1706.7,9062.7,49.8,76.7,84.1,646.3,14596.5,30032.0,939682.4,940000
read,1247.2,7429.7,49.8,77.3,85.0,395.1,8742.4,24181.5,959587.4,960000
read,1970.4,8830.8,49.8,78.6,87.1,656.7,15307.4,34386.7,979542.8,980000
read,1361.5,6346.5,49.8,79.7,88.4,559.1,11241.2,23148.4,1000046.7,1000000
read,2104.8,7132.6,49.8,80.8,90.0,6727.8,15935.7,28403.8,1019909.2,1020000
read,3580.5,9674.8,49.8,81.0,91.1,15496.8,23401.3,40631.6,1039378.0,1040000
read,15816.0,18514.3,49.8,88.6,104.6,31497.1,48941.0,95627.4,1033416.1,1060000
read,8234.5,16396.8,45.3,85.7,98.6,19174.5,24928.4,49749.0,1076882.8,1080000
read,4722.5,12467.6,49.8,84.6,95.4,16039.1,17764.5,28118.9,1094364.6,1100000
read,10467.8,12981.7,54.8,86.6,100.5,23497.4,30020.5,42111.5,1093441.5,1120000
read,5594.8,10761.2,49.8,87.8,99.9,16323.3,18993.2,28343.5,1127772.0,1140000
read,13206.6,13279.4,49.8,88.8,105.4,25528.6,31667.1,50114.2,1108932.2,1160000
read,9713.8,11485.3,54.8,86.2,99.6,20665.9,24054.6,31946.2,1147380.8,1180000
read,12319.3,13948.1,54.8,89.0,101.8,23642.0,30319.0,51369.3,1130375.3,1200000
read,10880.7,12588.8,49.8,88.4,101.4,18594.0,22855.8,31973.2,1141623.2,1220000
read,12114.5,12752.5,54.8,87.9,100.6,24060.7,29889.8,38131.4,1155617.2,1240000
read,11749.5,13319.6,54.8,88.6,103.2,22717.4,28052.1,37835.0,1155362.6,1260000
read,14557.7,16763.5,49.8,89.4,104.1,30196.6,37247.8,66472.1,1125576.4,1280000
read,11907.9,14360.2,45.3,88.7,102.2,23879.4,29977.4,32387.4,1144238.6,1300000
read,11265.7,14023.5,54.8,89.4,103.8,20097.9,24964.8,32144.8,1164628.2,1320000
read,11398.4,13892.3,54.8,88.1,101.2,22924.6,28272.7,32366.4,1164306.8,1340000
read,12062.2,12727.2,54.8,90.8,105.8,24169.8,30161.1,32378.1,1177834.9,1360000
read,13399.5,16409.4,49.8,94.1,111.1,24186.3,31007.7,67573.4,1170097.5,1380000
read,12249.5,13512.1,54.8,91.8,106.9,24341.7,30418.5,38252.7,1183080.9,1400000
read,11710.1,13463.3,49.8,91.7,107.1,21995.7,28520.1,32259.7,1178404.9,1420000
read,11320.4,13064.7,54.8,92.2,107.5,22291.8,26658.8,32294.7,1208774.2,1440000
read,11466.5,12627.6,49.8,93.5,110.9,19709.7,24167.7,32395.4,1211891.4,1460000
read,14789.1,15450.4,49.8,98.3,116.9,30211.3,36760.9,63106.2,1182648.7,1480000
read,12076.0,13997.8,54.8,96.5,114.8,23117.9,29727.6,35708.2,1205775.2,1500000
read,12218.7,13178.3,49.8,92.4,109.6,24700.9,30342.4,32347.5,1210346.6,1520000
read,11628.4,13195.2,54.8,94.7,111.1,23152.7,27722.8,32210.1,1229710.3,1540000
read,13511.8,13830.4,54.8,100.6,121.9,24806.3,30930.7,45019.0,1217885.0,1560000
read,12007.9,13566.2,54.8,96.4,114.3,23728.6,29357.5,32383.5,1237314.1,1580000
read,12138.8,14670.8,49.8,100.9,123.7,20870.9,25443.6,38115.7,1228235.2,1600000
read,12564.1,13334.6,49.8,99.2,121.3,23767.9,29853.5,35710.1,1230927.8,1620000
read,11846.0,12728.5,54.8,100.4,121.9,24033.5,29956.7,32148.5,1265427.0,1640000
read,15978.1,15423.3,54.8,111.0,145.1,29727.3,36617.0,66000.1,1238985.7,1660000
read,11492.4,11344.2,54.8,101.7,124.1,20790.0,25931.2,31771.8,1255296.2,1680000
read,14258.9,14114.7,54.8,115.7,150.9,28337.5,31556.2,48058.2,1252360.0,1700000
read,14138.2,13762.6,49.8,107.2,134.6,29696.6,31846.1,41454.3,1254665.1,1720000
read,13588.7,12760.2,60.2,109.5,138.0,29541.6,31345.2,38281.1,1263229.1,1740000
read,12250.9,13370.1,54.8,111.4,141.7,21679.3,24373.2,32130.5,1252106.1,1760000
read,13045.3,13464.7,54.8,113.4,145.8,25465.2,30476.4,32312.5,1269578.4,1780000
read,14053.5,14117.3,60.2,132.1,198.6,28251.1,30966.8,32398.5,1296769.4,1800000
read,14230.5,12299.7,54.8,152.3,281.0,24297.3,30193.0,38471.6,1294118.5,1820000
read,12864.8,13255.9,54.8,129.2,179.8,23943.1,29833.3,32332.5,1304303.6,1840000
read,15455.6,12222.1,66.3,5997.8,7394.5,23934.4,30470.8,48271.0,1281969.4,1860000
read,13812.1,12681.3,60.2,224.1,4409.7,22604.1,27817.5,32156.0,1320311.3,1880000
read,16987.4,15109.7,189.1,6639.3,7796.3,27776.7,31911.8,67384.3,1280318.9,1900000
read,15421.5,12306.2,251.6,6740.4,7889.6,24353.7,30227.2,34636.4,1307438.9,1920000
read,14853.6,13041.3,80.2,6196.6,7538.8,22822.9,29290.5,32319.5,1310667.4,1940000
read,16550.0,12556.2,60.2,6760.3,7929.8,26160.0,31149.0,42441.5,1306560.6,1960000
read,14848.0,13379.1,49.8,5527.2,7001.6,24261.1,30109.4,32318.1,1328939.9,1980000
read,16111.7,13696.6,49.8,6813.9,7881.3,24866.4,30610.7,50322.5,1280978.1,2000000
