#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      372.5  1881.7    49.8    88.0    98.1   251.9   362.5  5007.5 1478874.3  1480000
read      351.0  1656.7    49.8    88.5    99.1   263.5   488.7  4654.7 1498055.5  1500000
read      352.9  1734.0    49.8    89.9   100.4   265.5   398.2  4757.6 1517596.0  1520000
read      400.8  1906.3    49.8    92.2   102.9   297.1  1912.6  5119.0 1536817.5  1540000
read      379.6  2533.5    49.8    93.6   105.5   300.9   530.9  4707.9 1556241.1  1560000
read      410.8  3620.1    49.8    96.8   108.2   320.0  1145.8  4791.4 1575937.8  1580000
read      415.1  2602.0    45.3    98.8   111.2   357.8  2176.5  4948.0 1595590.5  1600000
read      394.1  2109.6    49.8   101.1   114.3   363.6  1769.1  4523.3 1614451.7  1620000
read      493.3  2397.4    49.8   104.5   118.2   444.7  2595.3  5403.0 1633689.6  1640000
read      475.6  2401.1    54.8   108.6   122.8   474.4  2391.5  5276.0 1654420.6  1660000
read      520.5  3688.0    49.8   111.6   126.7   487.5  2301.3  5078.0 1672822.6  1680000
read      587.3  3284.4    54.8   115.0   132.0   738.4  2758.9  5403.9 1692404.5  1700000
read      553.3  2277.4    54.8   120.4   138.5   717.9  2573.2  4789.2 1712352.7  1720000
read      753.8  3727.2    54.8   123.4   143.5  1943.3  3033.4  7319.5 1731824.0  1740000
read      718.4  3717.0    49.8   130.2   150.0  1388.2  2787.7  5927.4 1751228.8  1760000
read      842.2  3703.2    54.8   137.0   160.1  2025.7  2990.0  7677.4 1770976.0  1780000
read      899.0  1800.7    54.8   153.1   182.7  2373.9  3140.6  5570.8 1789525.4  1800000
read     1123.9  2058.3    60.2   172.4   219.7  2512.9  3188.9  8150.2 1809628.0  1820000
read     1392.9  3442.7    72.9   204.8   275.9  2853.4  3361.7  8763.6 1829121.4  1840000
read     1641.8  2293.0    54.8   316.8   448.6  2952.3  3418.4 15752.7 1848687.0  1860000
read     2094.2  2831.1    54.8   651.5   867.4  3199.9  3526.3 15195.4 1867712.7  1880000
read     2755.4  4022.9    72.9  1085.0  1305.8  3362.8  3852.6 17863.9 1884736.4  1900000
read     2766.1  3989.0   106.7  1542.4  1697.8  3265.5  3563.3 17321.4 1898104.4  1920000
read     2773.9  3175.5    72.9  1712.8  1844.2  3343.4  3579.3 16504.6 1902237.8  1940000
read     3003.1  3932.5    66.3  1792.5  1914.4  3415.2  3616.8 17634.1 1904490.2  1960000
read     2979.9  3763.3    54.8  1815.7  1933.1  3417.8  3612.0 17401.5 1906651.6  1980000
read     2968.9  3664.8    60.2  1885.1  1993.4  3501.5  3617.2 17040.2 1911251.6  2000000
