#type,avg,min,1st,5th,10th,90th,95th,99th,QPS,target
read,104.7,482.1,45.3,60.5,64.3,114.6,127.8,157.2,19965.2,20000
read,93.5,440.1,41.1,57.3,60.9,103.7,112.3,135.6,39732.3,40000
read,94.4,590.3,41.1,56.4,59.1,101.7,110.2,132.0,59984.4,60000
read,162.3,1527.2,41.1,56.3,59.1,104.7,115.8,148.9,79895.8,80000
read,146.8,1564.0,41.1,55.7,57.9,99.5,110.2,137.0,99938.7,100000
read,86.4,758.2,41.1,55.8,57.9,96.6,106.2,127.3,120007.0,120000
read,79.9,541.1,41.1,55.9,57.9,95.9,105.5,126.2,140041.8,140000
read,88.5,486.0,41.1,55.4,57.4,94.8,105.0,126.7,160037.8,160000
read,130.7,1199.8,41.1,55.7,57.7,94.5,105.0,129.0,180187.0,180000
read,85.3,736.0,45.3,55.8,57.9,92.5,101.3,123.4,200026.1,200000
read,79.9,558.4,41.1,55.5,57.3,91.2,101.4,125.2,220074.1,220000
read,79.3,470.9,41.1,55.6,57.5,90.8,100.5,124.5,240006.9,240000
read,88.4,631.1,41.1,55.6,57.6,91.6,100.1,123.6,259889.0,260000
read,86.3,642.7,37.4,55.6,57.6,91.5,100.9,126.4,279739.7,280000
read,81.4,507.8,41.1,55.8,58.0,89.8,98.8,124.3,300084.5,300000
read,82.5,419.2,41.1,56.0,58.3,91.5,100.0,123.5,319966.6,320000
read,86.2,490.8,41.1,56.0,58.3,91.9,101.6,127.8,340182.5,340000
read,84.9,524.0,41.1,56.3,58.8,92.4,100.2,124.2,360024.7,360000
read,92.9,757.3,41.1,56.4,59.2,92.5,101.3,127.7,379726.3,380000
read,84.8,545.0,37.4,56.4,59.3,94.5,105.3,133.4,399829.2,400000
read,87.6,509.1,41.1,56.9,60.0,94.5,104.1,130.1,419801.6,420000
read,90.5,421.8,45.3,58.6,61.6,97.0,105.9,129.0,439806.2,440000
read,88.7,518.4,45.3,57.8,60.9,95.6,105.2,132.3,460257.0,460000
read,94.3,550.9,41.1,56.6,59.9,98.9,111.1,140.9,480188.0,480000
read,91.2,535.9,41.1,57.7,60.9,96.7,107.3,137.0,499871.8,500000
read,97.8,633.2,41.1,58.0,61.3,100.9,112.5,144.9,520303.4,520000
read,91.6,582.7,41.1,58.6,61.7,101.2,112.0,142.5,540044.5,540000
read,96.2,687.6,41.1,59.8,62.5,102.4,113.1,143.9,559584.9,560000
read,96.8,585.2,41.1,58.5,61.8,103.2,114.2,147.1,579958.2,580000
read,93.7,602.1,41.1,60.2,62.9,103.6,114.2,147.5,599955.1,600000
read,95.7,494.6,41.1,60.3,63.0,105.8,116.6,147.0,619704.6,620000
read,100.1,602.2,41.1,60.6,63.5,107.5,120.9,154.7,640259.3,640000
read,103.8,672.7,41.1,60.7,63.7,108.5,120.2,151.1,660087.6,660000
read,98.3,538.3,41.1,61.1,64.3,109.9,121.0,153.7,680195.5,680000
read,101.7,584.9,45.3,61.2,64.5,111.4,123.9,155.2,699998.2,700000
read,110.7,715.8,41.1,61.4,65.2,112.5,124.5,160.0,719976.8,720000
read,111.9,672.7,41.1,61.6,65.2,112.8,125.1,160.0,739624.3,740000
read,108.4,623.7,41.1,61.5,65.5,117.1,132.5,167.4,759784.3,760000
read,107.8,707.4,41.1,62.6,66.9,115.7,128.8,166.0,779950.8,780000
read,106.0,643.9,41.1,62.5,66.9,115.9,128.8,165.6,799742.8,800000
read,119.3,687.1,45.3,63.0,67.4,120.1,134.5,176.6,820198.8,820000
read,109.8,509.7,41.1,63.1,67.7,120.5,135.4,173.5,839809.0,840000
read,125.1,591.9,41.1,64.0,68.6,122.5,137.7,215.5,859849.8,860000
read,107.9,480.1,45.3,64.6,69.5,123.9,138.7,178.0,879692.9,880000
read,142.8,761.0,41.1,64.8,69.8,127.3,144.1,409.7,899728.2,900000
read,128.4,709.3,37.4,65.5,70.5,129.9,147.9,226.9,919928.9,920000
read,129.2,769.0,45.3,65.8,71.0,131.1,148.5,204.2,939646.7,940000
read,126.8,553.5,45.3,66.5,71.6,131.2,147.9,212.0,960033.7,960000
read,142.1,830.7,45.3,66.6,72.2,133.5,151.6,235.7,980295.9,980000
read,141.4,765.5,45.3,66.9,72.9,136.3,153.7,1327.4,999969.7,1000000
read,135.7,827.0,49.8,67.2,73.2,137.3,153.9,220.3,1020044.4,1020000
read,173.3,924.5,45.3,67.9,73.8,140.6,160.4,2576.6,1039803.2,1040000
read,148.0,809.2,45.3,68.6,74.5,144.6,164.4,982.4,1059879.9,1060000
read,165.5,867.4,49.8,69.5,75.3,147.4,167.9,2214.6,1080134.9,1080000
read,170.5,869.6,41.1,70.0,76.0,150.4,171.5,1984.3,1099947.2,1100000
read,179.2,974.7,45.3,70.4,76.5,152.8,175.1,2511.1,1119902.0,1120000
read,174.5,847.2,45.3,70.6,76.5,156.0,181.4,2489.6,1140399.9,1140000
read,176.8,877.4,41.1,72.6,78.5,158.8,184.2,2824.9,1159810.6,1160000
read,220.5,1051.9,49.8,73.2,79.3,183.9,258.9,3754.3,1179361.9,1180000
read,204.8,1003.1,45.3,73.2,79.5,168.3,197.2,3407.8,1199841.6,1200000
read,237.5,997.1,45.3,74.9,81.2,182.8,245.4,4228.9,1219612.6,1220000
read,173.6,864.9,45.3,74.7,81.7,173.1,202.0,1377.7,1240019.5,1240000
read,388.8,1482.4,45.3,74.9,81.8,213.2,1982.9,5877.0,1259937.6,1260000
read,209.6,1168.5,41.1,76.3,83.2,185.9,220.3,2743.3,1280088.3,1280000
read,259.0,1222.0,49.8,76.8,84.2,195.0,244.2,4227.0,1299718.3,1300000
read,225.0,1072.7,49.8,78.5,85.7,198.3,243.6,3826.8,1319622.4,1320000
read,243.7,1149.8,45.3,78.6,86.1,206.4,251.2,3808.6,1339586.1,1340000
read,252.6,985.8,49.8,81.2,89.0,212.7,264.4,3995.0,1360077.2,1360000
read,245.1,1011.5,49.8,81.3,89.5,219.5,274.6,3706.8,1379868.1,1380000
read,280.8,1094.9,49.8,81.7,90.6,235.4,323.6,4331.4,1399599.0,1400000
read,250.8,1106.2,49.8,83.3,92.3,238.3,295.0,3542.9,1420005.6,1420000
read,281.7,1027.1,49.8,84.9,94.5,250.3,328.3,4164.7,1439444.1,1440000
read,317.3,1299.3,45.3,84.7,94.9,262.8,348.2,4754.8,1459000.0,1460000
read,328.2,1317.2,49.8,87.7,98.3,285.1,412.3,4281.7,1478635.4,1480000
read,296.8,1328.9,49.8,88.4,99.7,294.2,425.9,3960.6,1497604.3,1500000
read,381.4,1581.6,49.8,90.3,101.3,334.1,745.8,5065.9,1515858.7,1520000
read,393.3,1514.4,49.8,91.9,103.0,339.7,903.1,5317.3,1527088.9,1540000
read,722.1,2311.8,49.8,82.7,92.2,485.6,4653.4,11501.2,1463026.8,1560000
read,817.6,2821.9,45.3,83.3,93.0,689.2,5500.1,12451.3,1469680.5,1580000
read,1127.5,2949.0,49.8,79.3,87.3,4858.1,6920.2,10774.6,1440011.7,1600000
read,1056.9,3141.1,49.8,81.4,91.5,3743.9,6472.2,12470.2,1483383.5,1620000
read,1510.7,3876.5,49.8,74.3,81.5,6191.9,8604.0,17111.7,1391290.0,1640000
read,1446.8,3838.0,45.3,74.1,81.9,5478.4,7922.1,18351.2,1402418.4,1660000
read,1339.6,3576.7,45.3,76.6,84.2,5641.8,8775.4,15444.7,1418501.2,1680000
read,1812.9,3943.7,41.1,72.0,79.2,6791.7,9076.8,16094.7,1356258.1,1700000
read,1771.2,3921.3,41.1,73.0,80.3,6439.9,8228.4,18042.3,1404433.5,1720000
read,2051.0,4139.0,41.1,69.6,76.5,7027.4,8677.1,17615.4,1335292.1,1740000
read,2222.0,4261.3,45.3,68.0,75.1,7603.6,9354.1,17951.5,1316258.1,1760000
read,2165.6,3980.2,45.3,67.5,74.4,7573.7,9374.4,18615.4,1309063.1,1780000
read,2490.7,3923.2,41.1,69.1,76.0,6404.0,7602.9,18434.8,1367279.2,1800000
read,2397.6,4141.6,45.3,68.9,76.0,6641.9,8168.5,19479.2,1366990.5,1820000
read,2989.2,4250.3,45.3,66.8,74.1,6341.5,7502.4,19262.4,1415299.6,1840000
read,2921.0,4278.7,41.1,67.0,74.1,6409.7,7411.3,19104.9,1406858.4,1860000
read,2886.4,4210.5,41.1,71.6,79.6,5064.0,5725.5,18286.2,1555409.8,1880000
read,2760.1,3845.3,49.8,76.0,85.0,4559.5,5088.7,17126.6,1657130.7,1900000
read,2835.7,3338.2,49.8,76.6,89.0,4329.9,4793.8,17132.8,1708337.8,1920000
read,2888.9,3481.0,45.3,80.4,94.3,4294.3,4778.7,17323.5,1709778.6,1940000
read,3111.0,3782.9,45.3,76.0,87.9,4757.8,5603.5,17904.2,1650725.7,1960000
read,3002.0,3762.1,49.8,81.3,97.1,4254.3,4777.6,17734.3,1736476.8,1980000
read,2947.2,3331.0,49.8,96.6,1686.8,3927.7,4351.6,17048.1,1803216.4,2000000
